Frequency,Reflectivity
399.24736,0.44666
400.20709,0.38393
401.16682,0.30448
402.12655,0.21845
403.08628,0.14186
404.04601,0.08815
405.00574,0.06065
405.96547,0.0532
406.9252,0.05685
407.88493,0.06512
408.84465,0.075
409.80438,0.08505
410.76411,0.09435
411.72384,0.10268
412.68357,0.11032
413.6433,0.11721
414.60303,0.12306
415.56276,0.12779
416.52249,0.13184
417.48222,0.13627
418.44195,0.14252
419.40168,0.15087
420.36141,0.15936
421.32113,0.16607
422.28086,0.17105
423.24059,0.17555
424.20032,0.18061
425.16005,0.18631
426.11978,0.1922
427.07951,0.19811
428.03924,0.20437
428.99897,0.21138
429.9587,0.2193
430.91843,0.22795
431.87816,0.23693
432.83789,0.24585
433.79761,0.25449
434.75734,0.26295
435.71707,0.27164
436.6768,0.28104
437.63653,0.29142
438.59626,0.30279
439.55599,0.31519
440.51572,0.32887
441.47545,0.34425
442.43518,0.36173
443.39491,0.38166
444.35464,0.4043
445.31437,0.43027
446.2741,0.46052
447.23382,0.49534
448.19355,0.53334
449.15328,0.57152
450.11301,0.60668
451.07274,0.63675
452.03247,0.66132
452.9922,0.68112
453.95193,0.697
454.91166,0.70963
455.87139,0.72011
456.83112,0.73019
457.79085,0.74131
458.75058,0.75351
459.7103,0.7662
460.67003,0.77952
461.62976,0.79425
462.58949,0.81084
463.54922,0.82879
464.50895,0.84668
465.46868,0.86275
466.42841,0.87573
467.38814,0.88548
468.34787,0.89273
469.3076,0.89817
470.26733,0.90213
471.22706,0.90496
472.18678,0.90742
473.14651,0.91016
474.10624,0.91308
475.06597,0.91547
476.0257,0.91695
476.98543,0.91776
477.94516,0.91837
478.90489,0.91891
479.86462,0.91906
480.82435,0.91844
481.78408,0.91696
482.74381,0.91509
483.70354,0.91348
484.66326,0.91236
485.62299,0.91127
486.58272,0.90971
487.54245,0.90759
488.50218,0.90518
489.46191,0.90277
490.42164,0.90028
491.38137,0.89738
492.3411,0.89371
493.30083,0.88902
494.26056,0.8832
495.22029,0.87624
496.18002,0.86831
497.13974,0.85973
498.09947,0.85064
499.0592,0.84068
500.01893,0.82885
500.97866,0.8137
501.93839,0.79404
502.89812,0.76914
503.85785,0.73755
504.81758,0.69579
505.77731,0.63969
506.73704,0.56825
507.69677,0.48623
508.6565,0.40234
509.61622,0.32519
510.57595,0.26028
511.53568,0.20916
512.49541,0.17034
513.45514,0.14117
514.41487,0.11924
515.3746,0.10268
516.33433,0.09003
517.29406,0.08024
518.25379,0.07258
519.21352,0.06668
520.17325,0.06227
521.13298,0.05909
522.0927,0.05689
523.05243,0.05556
524.01216,0.05518
524.97189,0.05592
525.93162,0.0578
526.89135,0.06067
527.85108,0.06443
528.81081,0.06911
529.77054,0.07492
530.73027,0.08224
531.69,0.09179
532.64973,0.10456
533.60946,0.12182
534.56918,0.14474
535.52891,0.17374
536.48864,0.20751
537.44837,0.24287
538.4081,0.27581
539.36783,0.30311
540.32756,0.32349
541.28729,0.3376
542.24702,0.34714
543.20675,0.35373
544.16648,0.35832
545.12621,0.36125
546.08594,0.36257
547.04566,0.36212
548.00539,0.3594
548.96512,0.35315
549.92485,0.34122
550.88458,0.32098
551.84431,0.2906
552.80404,0.25076
553.76377,0.20558
554.7235,0.16135
555.68323,0.12356
556.64296,0.09466
557.60269,0.07409
558.56242,0.05987
559.52214,0.05002
560.48187,0.043
561.4416,0.03777
562.40133,0.03381
563.36106,0.03097
564.32079,0.0291
565.28052,0.02787
566.24025,0.02694
567.19998,0.02612
568.15971,0.02542
569.11944,0.02481
570.07917,0.02421
571.0389,0.02353
571.99863,0.02284
572.95835,0.02228
573.91808,0.02198
574.87781,0.02196
575.83754,0.02212
576.79727,0.02239
577.757,0.0227
578.71673,0.02294
579.67646,0.02309
580.63619,0.0232
581.59592,0.02344
582.55565,0.02391
583.51538,0.02456
584.47511,0.02525
585.43483,0.02586
586.39456,0.0263
587.35429,0.02656
588.31402,0.02671
589.27375,0.02687
590.23348,0.02711
591.19321,0.02745
592.15294,0.02791
593.11267,0.0284
594.0724,0.02883
595.03213,0.02915
595.99186,0.02936
596.95159,0.02952
597.91131,0.02969
