Frequency,Reflectivity
399.24736,0.39202
400.20709,0.33438
401.16682,0.26265
402.12655,0.18578
403.08628,0.11698
404.04601,0.06968
405.00574,0.04877
405.96547,0.04663
406.9252,0.05148
407.88493,0.05601
408.84465,0.06048
409.80438,0.06861
410.76411,0.08119
411.72384,0.09474
412.68357,0.10573
413.6433,0.11319
414.60303,0.11837
415.56276,0.12342
416.52249,0.12951
417.48222,0.13624
418.44195,0.14248
419.40168,0.14727
420.36141,0.15081
421.32113,0.1543
422.28086,0.15862
423.24059,0.16388
424.20032,0.16973
425.16005,0.1754
426.11978,0.18012
427.07951,0.18406
428.03924,0.18856
428.99897,0.19499
429.9587,0.20341
430.91843,0.21278
431.87816,0.22202
432.83789,0.23085
433.79761,0.23962
434.75734,0.2488
435.71707,0.25839
436.6768,0.26798
437.63653,0.27734
438.59626,0.28665
439.55599,0.29616
440.51572,0.306
441.47545,0.31681
442.43518,0.33013
443.39491,0.34763
444.35464,0.37009
445.31437,0.39747
446.2741,0.42942
447.23382,0.46507
448.19355,0.50257
449.15328,0.5392
450.11301,0.5721
451.07274,0.59923
452.03247,0.62022
452.9922,0.63651
453.95193,0.65015
454.91166,0.66237
455.87139,0.67334
456.83112,0.68263
457.79085,0.68992
458.75058,0.69581
459.7103,0.70195
460.67003,0.71015
461.62976,0.72126
462.58949,0.73455
463.54922,0.74824
464.50895,0.76096
465.46868,0.77253
466.42841,0.78349
467.38814,0.79386
468.34787,0.80258
469.3076,0.8083
470.26733,0.8108
471.22706,0.81138
472.18678,0.81213
473.14651,0.8144
474.10624,0.81804
475.06597,0.82199
476.0257,0.825
476.98543,0.82617
477.94516,0.8256
478.90489,0.82453
479.86462,0.82427
480.82435,0.82476
481.78408,0.82479
482.74381,0.82349
483.70354,0.82115
484.66326,0.81857
485.62299,0.81625
486.58272,0.81427
487.54245,0.81245
488.50218,0.81038
489.46191,0.80765
490.42164,0.80426
491.38137,0.80049
492.3411,0.79628
493.30083,0.79108
494.26056,0.78433
495.22029,0.77612
496.18002,0.76725
497.13974,0.75856
498.09947,0.75014
499.0592,0.74127
500.01893,0.7308
500.97866,0.71737
501.93839,0.69971
502.89812,0.67697
503.85785,0.6481
504.81758,0.61074
505.77731,0.56124
506.73704,0.49716
507.69677,0.42048
508.6565,0.33812
509.61622,0.25915
510.57595,0.19108
511.53568,0.13756
512.49541,0.09861
513.45514,0.07201
514.41487,0.0547
515.3746,0.04353
516.33433,0.03603
517.29406,0.03066
518.25379,0.02638
519.21352,0.02221
520.17325,0.01778
521.13298,0.01354
522.0927,0.0101
523.05243,0.00765
524.01216,0.0061
524.97189,0.00538
525.93162,0.00492
526.89135,0.0043
527.85108,0.00378
528.81081,0.00347
529.77054,0.00307
530.73027,0.00256
531.69,0.00235
532.64973,0.00235
533.60946,0.00238
534.56918,0.0026
535.52891,0.00292
536.48864,0.00319
537.44837,0.00342
538.4081,0.00365
539.36783,0.00391
540.32756,0.00428
541.28729,0.0047
542.24702,0.00517
543.20675,0.00579
544.16648,0.00645
545.12621,0.00698
546.08594,0.00741
547.04566,0.00782
548.00539,0.00815
548.96512,0.00807
549.92485,0.00727
550.88458,0.00596
551.84431,0.00477
552.80404,0.00428
553.76377,0.00458
554.7235,0.0053
555.68323,0.00603
556.64296,0.00658
557.60269,0.00712
558.56242,0.00791
559.52214,0.00889
560.48187,0.00972
561.4416,0.01005
562.40133,0.00992
563.36106,0.00984
564.32079,0.01021
565.28052,0.01081
566.24025,0.01139
567.19998,0.01184
568.15971,0.01225
569.11944,0.01273
570.07917,0.01327
571.0389,0.01377
571.99863,0.01424
572.95835,0.01479
573.91808,0.01541
574.87781,0.01593
575.83754,0.0162
576.79727,0.01624
577.757,0.01629
578.71673,0.01664
579.67646,0.01748
580.63619,0.01868
581.59592,0.01981
582.55565,0.02044
583.51538,0.02048
584.47511,0.02023
585.43483,0.02008
586.39456,0.02024
587.35429,0.02066
588.31402,0.02122
589.27375,0.02184
590.23348,0.02243
591.19321,0.02289
592.15294,0.02328
593.11267,0.02379
594.0724,0.02446
595.03213,0.02516
595.99186,0.02566
596.95159,0.02597
597.91131,0.02635
