Frequency,Reflectivity
399.24736,0.45058
400.20709,0.39836
401.16682,0.32866
402.12655,0.2508
403.08628,0.17867
404.04601,0.12561
405.00574,0.09785
405.96547,0.09219
406.9252,0.09995
407.88493,0.11299
408.84465,0.12649
409.80438,0.13863
410.76411,0.14924
411.72384,0.15868
412.68357,0.16727
413.6433,0.17523
414.60303,0.18276
415.56276,0.1899
416.52249,0.19667
417.48222,0.20345
418.44195,0.21083
419.40168,0.21873
420.36141,0.22612
421.32113,0.23239
422.28086,0.23778
423.24059,0.24261
424.20032,0.24717
425.16005,0.25196
426.11978,0.25735
427.07951,0.26308
428.03924,0.26875
428.99897,0.27459
429.9587,0.28148
430.91843,0.28976
431.87816,0.29881
432.83789,0.30764
433.79761,0.31582
434.75734,0.32352
435.71707,0.33109
436.6768,0.33878
437.63653,0.34679
438.59626,0.35562
439.55599,0.36608
440.51572,0.37853
441.47545,0.39252
442.43518,0.40728
443.39491,0.42271
444.35464,0.43965
445.31437,0.45913
446.2741,0.48156
447.23382,0.5064
448.19355,0.53245
449.15328,0.55851
450.11301,0.58363
451.07274,0.60673
452.03247,0.6267
452.9922,0.64306
453.95193,0.65634
454.91166,0.66775
455.87139,0.67852
456.83112,0.68952
457.79085,0.70105
458.75058,0.71313
459.7103,0.7262
460.67003,0.741
461.62976,0.75788
462.58949,0.7764
463.54922,0.79589
464.50895,0.81561
465.46868,0.83442
466.42841,0.85099
467.38814,0.86445
468.34787,0.87474
469.3076,0.88228
470.26733,0.88763
471.22706,0.89133
472.18678,0.89397
473.14651,0.89616
474.10624,0.89815
475.06597,0.89979
476.0257,0.90099
476.98543,0.90196
477.94516,0.90291
478.90489,0.90366
479.86462,0.9038
480.82435,0.90311
481.78408,0.90175
482.74381,0.90012
483.70354,0.89874
484.66326,0.8978
485.62299,0.89691
486.58272,0.89528
487.54245,0.89252
488.50218,0.88917
489.46191,0.8863
490.42164,0.88438
491.38137,0.88277
492.3411,0.88051
493.30083,0.87736
494.26056,0.87369
495.22029,0.86962
496.18002,0.8649
497.13974,0.85941
498.09947,0.85324
499.0592,0.84639
500.01893,0.83847
500.97866,0.8287
501.93839,0.81622
502.89812,0.80046
503.85785,0.78072
504.81758,0.7555
505.77731,0.72252
506.73704,0.67999
507.69677,0.62745
508.6565,0.56523
509.61622,0.49375
510.57595,0.41414
511.53568,0.33
512.49541,0.24801
513.45514,0.17585
514.41487,0.11863
515.3746,0.07715
516.33433,0.04903
517.29406,0.03079
518.25379,0.01919
519.21352,0.01172
520.17325,0.00688
521.13298,0.00393
522.0927,0.00264
523.05243,0.00283
524.01216,0.00409
524.97189,0.00619
525.93162,0.00904
526.89135,0.01267
527.85108,0.01713
528.81081,0.02241
529.77054,0.02839
530.73027,0.0351
531.69,0.04282
532.64973,0.05221
533.60946,0.06408
534.56918,0.0793
535.52891,0.09849
536.48864,0.12159
537.44837,0.14719
538.4081,0.17261
539.36783,0.19475
540.32756,0.21137
541.28729,0.22179
542.24702,0.22669
543.20675,0.22734
544.16648,0.22475
545.12621,0.21938
546.08594,0.21116
547.04566,0.19978
548.00539,0.18482
548.96512,0.16589
549.92485,0.14293
550.88458,0.11668
551.84431,0.08902
552.80404,0.06281
553.76377,0.04097
554.7235,0.0252
555.68323,0.01534
556.64296,0.00997
557.60269,0.00742
558.56242,0.00652
559.52214,0.00653
560.48187,0.00701
561.4416,0.00781
562.40133,0.0089
563.36106,0.01024
564.32079,0.01173
565.28052,0.01331
566.24025,0.01495
567.19998,0.01662
568.15971,0.01825
569.11944,0.01978
570.07917,0.02119
571.0389,0.02247
571.99863,0.02366
572.95835,0.02486
573.91808,0.02612
574.87781,0.02744
575.83754,0.02874
576.79727,0.03005
577.757,0.03138
578.71673,0.03276
579.67646,0.03413
580.63619,0.0354
581.59592,0.03652
582.55565,0.0375
583.51538,0.03839
584.47511,0.03922
585.43483,0.03997
586.39456,0.04072
587.35429,0.04162
588.31402,0.04274
589.27375,0.04398
590.23348,0.04521
591.19321,0.04638
592.15294,0.04751
593.11267,0.04856
594.0724,0.04947
595.03213,0.05028
595.99186,0.05105
596.95159,0.05185
597.91131,0.05267
