Frequency,Reflectivity
399.24736,0.49073
400.20709,0.43963
401.16682,0.34313
402.12655,0.22096
403.08628,0.12006
404.04601,0.10306
405.00574,0.11463
405.96547,0.09536
406.9252,0.09243
407.88493,0.13319
408.84465,0.16269
409.80438,0.16149
410.76411,0.14935
411.72384,0.13289
412.68357,0.139
413.6433,0.18384
414.60303,0.24481
415.56276,0.28834
416.52249,0.30167
417.48222,0.30414
418.44195,0.30206
419.40168,0.27479
420.36141,0.24488
421.32113,0.23591
422.28086,0.22542
423.24059,0.20429
424.20032,0.18722
425.16005,0.18453
426.11978,0.17202
427.07951,0.14472
428.03924,0.12987
428.99897,0.14178
429.9587,0.1686
430.91843,0.20179
431.87816,0.23263
432.83789,0.24468
433.79761,0.24016
434.75734,0.23953
435.71707,0.24653
436.6768,0.24702
437.63653,0.23669
438.59626,0.22847
439.55599,0.2366
440.51572,0.2605
441.47545,0.28892
442.43518,0.31449
443.39491,0.33658
444.35464,0.35298
445.31437,0.35898
446.2741,0.35869
447.23382,0.36591
448.19355,0.38836
449.15328,0.41627
450.11301,0.42967
451.07274,0.41958
452.03247,0.39796
452.9922,0.38413
453.95193,0.38913
454.91166,0.41636
455.87139,0.46255
456.83112,0.51384
457.79085,0.55297
458.75058,0.57423
459.7103,0.58641
460.67003,0.60559
461.62976,0.64588
462.58949,0.70781
463.54922,0.77472
464.50895,0.82412
465.46868,0.84475
466.42841,0.84369
467.38814,0.83853
468.34787,0.84195
469.3076,0.85309
470.26733,0.86217
471.22706,0.86253
472.18678,0.85913
473.14651,0.86132
474.10624,0.86949
475.06597,0.87667
476.0257,0.88059
476.98543,0.88651
477.94516,0.8964
478.90489,0.90423
479.86462,0.90453
480.82435,0.90046
481.78408,0.90047
482.74381,0.90881
483.70354,0.9213
484.66326,0.92907
485.62299,0.92595
486.58272,0.91233
487.54245,0.89265
488.50218,0.87378
489.46191,0.86611
490.42164,0.87769
491.38137,0.90181
492.3411,0.91651
493.30083,0.90727
494.26056,0.88785
495.22029,0.88519
496.18002,0.90924
497.13974,0.94351
498.09947,0.96149
499.0592,0.95387
500.01893,0.93347
500.97866,0.91556
501.93839,0.90458
502.89812,0.89583
503.85785,0.88212
504.81758,0.85869
505.77731,0.82667
506.73704,0.79511
507.69677,0.77575
508.6565,0.77141
509.61622,0.76949
510.57595,0.74778
511.53568,0.68914
512.49541,0.59596
513.45514,0.49084
514.41487,0.39998
515.3746,0.33647
516.33433,0.29851
517.29406,0.27784
518.25379,0.26741
519.21352,0.26343
520.17325,0.26495
521.13298,0.27153
522.0927,0.28025
523.05243,0.28734
524.01216,0.29213
524.97189,0.29703
525.93162,0.30546
526.89135,0.32067
527.85108,0.34539
528.81081,0.38136
529.77054,0.42802
530.73027,0.48237
531.69,0.54352
532.64973,0.6178
533.60946,0.71633
534.56918,0.84615
535.52891,1.00173
536.48864,1.16385
537.44837,1.31068
538.4081,1.432
539.36783,1.53103
540.32756,1.61325
541.28729,1.6768
542.24702,1.71555
543.20675,1.7294
544.16648,1.72622
545.12621,1.71387
546.08594,1.69608
547.04566,1.6755
548.00539,1.65504
548.96512,1.63341
549.92485,1.60084
550.88458,1.54075
551.84431,1.43728
552.80404,1.28415
553.76377,1.08997
554.7235,0.8766
555.68323,0.67098
556.64296,0.4952
557.60269,0.35981
558.56242,0.26343
559.52214,0.19763
560.48187,0.15284
561.4416,0.12165
562.40133,0.09919
563.36106,0.08414
564.32079,0.07627
565.28052,0.07207
566.24025,0.06706
567.19998,0.05892
568.15971,0.04863
569.11944,0.04071
570.07917,0.03865
571.0389,0.04
571.99863,0.04329
572.95835,0.04591
573.91808,0.04371
574.87781,0.03766
575.83754,0.03341
576.79727,0.03395
577.757,0.03654
578.71673,0.03955
579.67646,0.04317
580.63619,0.04281
581.59592,0.03704
582.55565,0.02999
583.51538,0.02211
584.47511,0.0165
585.43483,0.02096
586.39456,0.02654
587.35429,0.02954
588.31402,0.03124
589.27375,0.03164
590.23348,0.03008
591.19321,0.02836
592.15294,0.02934
593.11267,0.03411
594.0724,0.04033
595.03213,0.04399
595.99186,0.0451
596.95159,0.04535
597.91131,0.04427
