Frequency,Reflectivity
399.24736,0.49903
400.20709,0.40864
401.16682,0.3062
402.12655,0.20439
403.08628,0.11988
404.04601,0.06498
405.00574,0.04091
405.96547,0.03788
406.9252,0.04545
407.88493,0.05726
408.84465,0.06942
409.80438,0.08065
410.76411,0.09091
411.72384,0.09979
412.68357,0.10675
413.6433,0.11248
414.60303,0.11868
415.56276,0.12612
416.52249,0.13407
417.48222,0.14184
418.44195,0.14984
419.40168,0.158
420.36141,0.16458
421.32113,0.16869
422.28086,0.1719
423.24059,0.17647
424.20032,0.18307
425.16005,0.19036
426.11978,0.19704
427.07951,0.20325
428.03924,0.20979
428.99897,0.2168
429.9587,0.22401
430.91843,0.23168
431.87816,0.24042
432.83789,0.25006
433.79761,0.25956
434.75734,0.26845
435.71707,0.27764
436.6768,0.28842
437.63653,0.3011
438.59626,0.31518
439.55599,0.33067
440.51572,0.34834
441.47545,0.36881
442.43518,0.39177
443.39491,0.41641
444.35464,0.44274
445.31437,0.47263
446.2741,0.50894
447.23382,0.55299
448.19355,0.60258
449.15328,0.65274
450.11301,0.69845
451.07274,0.73659
452.03247,0.76614
452.9922,0.78748
453.95193,0.80193
454.91166,0.81165
455.87139,0.81909
456.83112,0.82574
457.79085,0.83141
458.75058,0.8352
459.7103,0.8372
460.67003,0.83847
461.62976,0.83996
462.58949,0.84195
463.54922,0.84404
464.50895,0.84556
465.46868,0.84618
466.42841,0.84615
467.38814,0.84593
468.34787,0.84579
469.3076,0.84586
470.26733,0.84625
471.22706,0.84671
472.18678,0.84653
473.14651,0.84544
474.10624,0.84429
475.06597,0.84418
476.0257,0.84503
476.98543,0.84564
477.94516,0.84526
478.90489,0.84451
479.86462,0.8443
480.82435,0.84423
481.78408,0.84297
482.74381,0.8402
483.70354,0.8371
484.66326,0.83467
485.62299,0.8325
486.58272,0.82958
487.54245,0.82568
488.50218,0.8214
489.46191,0.81732
490.42164,0.81347
491.38137,0.80946
492.3411,0.80481
493.30083,0.79927
494.26056,0.79301
495.22029,0.78625
496.18002,0.77895
497.13974,0.77087
498.09947,0.76184
499.0592,0.75174
500.01893,0.74009
500.97866,0.72588
501.93839,0.70813
502.89812,0.68655
503.85785,0.66087
504.81758,0.62978
505.77731,0.59099
506.73704,0.54231
507.69677,0.48206
508.6565,0.4093
509.61622,0.32557
510.57595,0.23735
511.53568,0.15557
512.49541,0.09078
513.45514,0.04773
514.41487,0.02398
515.3746,0.01298
516.33433,0.00833
517.29406,0.00619
518.25379,0.00497
519.21352,0.00411
520.17325,0.00359
521.13298,0.00384
522.0927,0.00442
523.05243,0.00471
524.01216,0.00482
524.97189,0.00459
525.93162,0.0038
526.89135,0.00275
527.85108,0.00219
528.81081,0.00195
529.77054,0.00171
530.73027,0.00095
531.69,0.00097
532.64973,0.00179
533.60946,0.00199
534.56918,0.00157
535.52891,0.00112
536.48864,0.00092
537.44837,0.00091
538.4081,0.00139
539.36783,0.00209
540.32756,0.00286
541.28729,0.00362
542.24702,0.00423
543.20675,0.00457
544.16648,0.00471
545.12621,0.00493
546.08594,0.00554
547.04566,0.00648
548.00539,0.00739
548.96512,0.00806
549.92485,0.00841
550.88458,0.00849
551.84431,0.00854
552.80404,0.00876
553.76377,0.00906
554.7235,0.00927
555.68323,0.00944
556.64296,0.00993
557.60269,0.01088
558.56242,0.01189
559.52214,0.01244
560.48187,0.01245
561.4416,0.01229
562.40133,0.01232
563.36106,0.01259
564.32079,0.01299
565.28052,0.01343
566.24025,0.01391
567.19998,0.01443
568.15971,0.01492
569.11944,0.01542
570.07917,0.01599
571.0389,0.01661
571.99863,0.01714
572.95835,0.01754
573.91808,0.01789
574.87781,0.01822
575.83754,0.01842
576.79727,0.01843
577.757,0.01839
578.71673,0.01854
579.67646,0.01903
580.63619,0.0199
581.59592,0.02102
582.55565,0.0221
583.51538,0.02289
584.47511,0.02326
585.43483,0.02329
586.39456,0.02317
587.35429,0.02316
588.31402,0.02343
589.27375,0.02397
590.23348,0.02461
591.19321,0.02519
592.15294,0.02564
593.11267,0.02603
594.0724,0.02641
595.03213,0.02675
595.99186,0.02694
596.95159,0.02703
597.91131,0.02722
