Frequency,Reflectivity
399.24736,0.3789
400.20709,0.32541
401.16682,0.26513
402.12655,0.19851
403.08628,0.13943
404.04601,0.10508
405.00574,0.10108
405.96547,0.10817
406.9252,0.10548
407.88493,0.08891
408.84465,0.06684
409.80438,0.05413
410.76411,0.05353
411.72384,0.06085
412.68357,0.07554
413.6433,0.0902
414.60303,0.09918
415.56276,0.1036
416.52249,0.10411
417.48222,0.09844
418.44195,0.08901
419.40168,0.08666
420.36141,0.10065
421.32113,0.12748
422.28086,0.15449
423.24059,0.16774
424.20032,0.16369
425.16005,0.15266
426.11978,0.14434
427.07951,0.13748
428.03924,0.12791
428.99897,0.11876
429.9587,0.11726
430.91843,0.12495
431.87816,0.13603
432.83789,0.14526
433.79761,0.1534
434.75734,0.1637
435.71707,0.17815
436.6768,0.1944
437.63653,0.20463
438.59626,0.20394
439.55599,0.19649
440.51572,0.191
441.47545,0.19436
442.43518,0.2082
443.39491,0.22783
444.35464,0.24584
445.31437,0.25778
446.2741,0.26567
447.23382,0.27775
448.19355,0.30202
449.15328,0.33808
450.11301,0.37635
451.07274,0.40538
452.03247,0.42038
452.9922,0.42539
453.95193,0.42697
454.91166,0.42842
455.87139,0.43118
456.83112,0.43752
457.79085,0.45003
458.75058,0.46924
459.7103,0.49244
460.67003,0.51404
461.62976,0.527
462.58949,0.52754
463.54922,0.52028
464.50895,0.51539
465.46868,0.52028
466.42841,0.53617
467.38814,0.56025
468.34787,0.58794
469.3076,0.61413
470.26733,0.63569
471.22706,0.65382
472.18678,0.67221
473.14651,0.69233
474.10624,0.71204
475.06597,0.72944
476.0257,0.74589
476.98543,0.76478
477.94516,0.78827
478.90489,0.81589
479.86462,0.84571
480.82435,0.87601
481.78408,0.90656
482.74381,0.93875
483.70354,0.97427
484.66326,1.01376
485.62299,1.05755
486.58272,1.10807
487.54245,1.16951
488.50218,1.24352
489.46191,1.32702
490.42164,1.41593
491.38137,1.50853
492.3411,1.6026
493.30083,1.69123
494.26056,1.76549
495.22029,1.82149
496.18002,1.86348
497.13974,1.9007
498.09947,1.94129
499.0592,1.98764
500.01893,2.03534
500.97866,2.0761
501.93839,2.10232
502.89812,2.10906
503.85785,2.09078
504.81758,2.03952
505.77731,1.95378
506.73704,1.85489
507.69677,1.78742
508.6565,1.78925
509.61622,1.85851
510.57595,1.95302
511.53568,2.02136
512.49541,2.03758
513.45514,2.01052
514.41487,1.9651
515.3746,1.9195
516.33433,1.87739
517.29406,1.8344
518.25379,1.78833
519.21352,1.74337
520.17325,1.70588
521.13298,1.67806
522.0927,1.65694
523.05243,1.63846
524.01216,1.61974
524.97189,1.59887
525.93162,1.57649
526.89135,1.55749
527.85108,1.54702
528.81081,1.54492
529.77054,1.5458
530.73027,1.54403
531.69,1.53731
532.64973,1.52606
533.60946,1.51195
534.56918,1.4977
535.52891,1.48639
536.48864,1.47933
537.44837,1.47469
538.4081,1.46912
539.36783,1.46075
540.32756,1.45012
541.28729,1.43808
542.24702,1.4242
543.20675,1.40785
544.16648,1.38914
545.12621,1.36743
546.08594,1.33987
547.04566,1.30199
548.00539,1.24853
548.96512,1.17315
549.92485,1.07021
550.88458,0.93953
551.84431,0.79006
552.80404,0.63841
553.76377,0.502
554.7235,0.39136
555.68323,0.308
556.64296,0.24764
557.60269,0.20408
558.56242,0.17139
559.52214,0.14513
560.48187,0.12318
561.4416,0.10552
562.40133,0.09268
563.36106,0.08371
564.32079,0.07616
565.28052,0.06828
566.24025,0.05989
567.19998,0.05116
568.15971,0.04201
569.11944,0.03329
570.07917,0.02732
571.0389,0.02534
571.99863,0.0247
572.95835,0.02335
573.91808,0.0215
574.87781,0.02087
575.83754,0.02197
576.79727,0.02334
577.757,0.02312
578.71673,0.02047
579.67646,0.01661
580.63619,0.01393
581.59592,0.01308
582.55565,0.0132
583.51538,0.01361
584.47511,0.01395
585.43483,0.01364
586.39456,0.01291
587.35429,0.01343
588.31402,0.01579
589.27375,0.01789
590.23348,0.0184
591.19321,0.01771
592.15294,0.01602
593.11267,0.0137
594.0724,0.01172
595.03213,0.01174
595.99186,0.0133
596.95159,0.01555
597.91131,0.01899
