Frequency,Reflectivity
399.24736,0.71566
400.20709,0.55849
401.16682,0.41086
402.12655,0.27909
403.08628,0.1925
404.04601,0.18469
405.00574,0.16404
405.96547,0.12061
406.9252,0.07122
407.88493,0.03972
408.84465,0.03034
409.80438,0.04113
410.76411,0.06298
411.72384,0.07774
412.68357,0.09046
413.6433,0.11052
414.60303,0.13908
415.56276,0.17014
416.52249,0.19583
417.48222,0.21191
418.44195,0.21929
419.40168,0.22085
420.36141,0.22161
421.32113,0.2211
422.28086,0.21649
423.24059,0.21077
424.20032,0.2082
425.16005,0.21012
426.11978,0.21469
427.07951,0.22056
428.03924,0.22932
428.99897,0.24165
429.9587,0.2547
430.91843,0.26653
431.87816,0.2777
432.83789,0.28805
433.79761,0.29594
434.75734,0.30129
435.71707,0.30738
436.6768,0.31685
437.63653,0.32712
438.59626,0.33353
439.55599,0.33663
440.51572,0.34332
441.47545,0.36022
442.43518,0.38789
443.39491,0.4219
444.35464,0.45745
445.31437,0.49366
446.2741,0.53512
447.23382,0.58818
448.19355,0.65355
449.15328,0.72323
450.11301,0.7849
451.07274,0.82872
452.03247,0.85297
452.9922,0.86667
453.95193,0.88372
454.91166,0.91125
455.87139,0.94463
456.83112,0.97298
457.79085,0.98918
458.75058,0.99538
459.7103,0.99695
460.67003,0.99474
461.62976,0.98647
462.58949,0.97343
463.54922,0.96425
464.50895,0.96873
465.46868,0.98843
466.42841,1.01503
467.38814,1.03685
468.34787,1.04654
469.3076,1.04404
470.26733,1.03532
471.22706,1.02914
472.18678,1.0314
473.14651,1.0407
474.10624,1.05206
475.06597,1.06466
476.0257,1.082
476.98543,1.10539
477.94516,1.12989
478.90489,1.14736
479.86462,1.15437
480.82435,1.1563
481.78408,1.16249
482.74381,1.17736
483.70354,1.1974
484.66326,1.21633
485.62299,1.23165
486.58272,1.2452
487.54245,1.26006
488.50218,1.27834
489.46191,1.30011
490.42164,1.32293
491.38137,1.34359
492.3411,1.36158
493.30083,1.37865
494.26056,1.39501
495.22029,1.40914
496.18002,1.42135
497.13974,1.43375
498.09947,1.44576
499.0592,1.45306
500.01893,1.45209
500.97866,1.44311
501.93839,1.42798
502.89812,1.40731
503.85785,1.38056
504.81758,1.34704
505.77731,1.30602
506.73704,1.25535
507.69677,1.18849
508.6565,1.09476
509.61622,0.96815
510.57595,0.81856
511.53568,0.67176
512.49541,0.55456
513.45514,0.47905
514.41487,0.43994
515.3746,0.42322
516.33433,0.41597
517.29406,0.41182
518.25379,0.40972
519.21352,0.40881
520.17325,0.40658
521.13298,0.40165
522.0927,0.39563
523.05243,0.39124
524.01216,0.38948
524.97189,0.38964
525.93162,0.39094
526.89135,0.39289
527.85108,0.39473
528.81081,0.39533
529.77054,0.39385
530.73027,0.39069
531.69,0.388
532.64973,0.38793
533.60946,0.39028
534.56918,0.39293
535.52891,0.39483
536.48864,0.39719
537.44837,0.4012
538.4081,0.40573
539.36783,0.40867
540.32756,0.40973
541.28729,0.41042
542.24702,0.41176
543.20675,0.41318
544.16648,0.41368
545.12621,0.41331
546.08594,0.41319
547.04566,0.4144
548.00539,0.41655
548.96512,0.4174
549.92485,0.41355
550.88458,0.40188
551.84431,0.38056
552.80404,0.34925
553.76377,0.30937
554.7235,0.26419
555.68323,0.21806
556.64296,0.17499
557.60269,0.13801
558.56242,0.10902
559.52214,0.08887
560.48187,0.07713
561.4416,0.07081
562.40133,0.06526
563.36106,0.05856
564.32079,0.05217
565.28052,0.0477
566.24025,0.0449
567.19998,0.04216
568.15971,0.03807
569.11944,0.03294
570.07917,0.02906
571.0389,0.02812
571.99863,0.03
572.95835,0.03349
573.91808,0.0368
574.87781,0.03827
575.83754,0.03769
576.79727,0.03601
577.757,0.03369
578.71673,0.03189
579.67646,0.03193
580.63619,0.03295
581.59592,0.03381
582.55565,0.0339
583.51538,0.03248
584.47511,0.02979
585.43483,0.02714
586.39456,0.02536
587.35429,0.02404
588.31402,0.02307
589.27375,0.02291
590.23348,0.02391
591.19321,0.02604
592.15294,0.02863
593.11267,0.03033
594.0724,0.03029
595.03213,0.02918
595.99186,0.02836
596.95159,0.02849
597.91131,0.02914
