Frequency,Reflectivity
399.24736,0.90784
400.20709,0.75978
401.16682,0.59758
402.12655,0.43164
403.08628,0.28628
404.04601,0.18532
405.00574,0.13416
405.96547,0.11682
406.9252,0.11151
407.88493,0.10164
408.84465,0.08999
409.80438,0.094
410.76411,0.10771
411.72384,0.11927
412.68357,0.12452
413.6433,0.12147
414.60303,0.11399
415.56276,0.11111
416.52249,0.11796
417.48222,0.13527
418.44195,0.15957
419.40168,0.18242
420.36141,0.19898
421.32113,0.21207
422.28086,0.22541
423.24059,0.23846
424.20032,0.24676
425.16005,0.24892
426.11978,0.2502
427.07951,0.25502
428.03924,0.26286
428.99897,0.27152
429.9587,0.27861
430.91843,0.28309
431.87816,0.28769
432.83789,0.29545
433.79761,0.30466
434.75734,0.31288
435.71707,0.32233
436.6768,0.33741
437.63653,0.35895
438.59626,0.38337
439.55599,0.4068
440.51572,0.4284
441.47545,0.44982
442.43518,0.47305
443.39491,0.49765
444.35464,0.52286
445.31437,0.55246
446.2741,0.59183
447.23382,0.64126
448.19355,0.69606
449.15328,0.75112
450.11301,0.80231
451.07274,0.84513
452.03247,0.87753
452.9922,0.9045
453.95193,0.93334
454.91166,0.96483
455.87139,0.99264
456.83112,1.01086
457.79085,1.02216
458.75058,1.03538
459.7103,1.0542
460.67003,1.07447
461.62976,1.08947
462.58949,1.09467
463.54922,1.09044
464.50895,1.082
465.46868,1.07687
466.42841,1.08137
467.38814,1.09756
468.34787,1.12161
469.3076,1.14672
470.26733,1.16959
471.22706,1.19216
472.18678,1.21729
473.14651,1.24489
474.10624,1.27316
475.06597,1.30123
476.0257,1.32805
476.98543,1.3509
477.94516,1.36863
478.90489,1.38561
479.86462,1.40962
480.82435,1.44554
481.78408,1.49218
482.74381,1.54426
483.70354,1.59574
484.66326,1.6422
485.62299,1.68335
486.58272,1.72307
487.54245,1.76628
488.50218,1.81705
489.46191,1.87915
490.42164,1.95475
491.38137,2.04056
492.3411,2.12733
493.30083,2.20593
494.26056,2.27368
495.22029,2.33342
496.18002,2.38748
497.13974,2.4343
498.09947,2.47259
499.0592,2.50735
500.01893,2.54757
500.97866,2.59689
501.93839,2.64857
502.89812,2.6902
503.85785,2.71012
504.81758,2.69875
505.77731,2.65426
506.73704,2.59527
507.69677,2.55538
508.6565,2.54893
509.61622,2.54736
510.57595,2.50131
511.53568,2.38851
512.49541,2.23607
513.45514,2.09342
514.41487,1.99077
515.3746,1.92664
516.33433,1.88346
517.29406,1.84559
518.25379,1.80604
519.21352,1.76481
520.17325,1.72604
521.13298,1.69458
522.0927,1.67177
523.05243,1.65363
524.01216,1.63434
524.97189,1.61157
525.93162,1.58753
526.89135,1.56519
527.85108,1.54594
528.81081,1.53056
529.77054,1.51939
530.73027,1.51125
531.69,1.5047
532.64973,1.50041
533.60946,1.49926
534.56918,1.49859
535.52891,1.49371
536.48864,1.48339
537.44837,1.47089
538.4081,1.45959
539.36783,1.45023
540.32756,1.4426
541.28729,1.43695
542.24702,1.43266
543.20675,1.42703
544.16648,1.41682
545.12621,1.40094
546.08594,1.38058
547.04566,1.35618
548.00539,1.32444
548.96512,1.27867
549.92485,1.21162
550.88458,1.11801
551.84431,0.99674
552.80404,0.85397
553.76377,0.70414
554.7235,0.5644
555.68323,0.44638
556.64296,0.35312
557.60269,0.28222
558.56242,0.23
559.52214,0.19313
560.48187,0.16813
561.4416,0.15076
562.40133,0.13683
563.36106,0.12412
564.32079,0.11278
565.28052,0.1039
566.24025,0.09738
567.19998,0.09133
568.15971,0.08417
569.11944,0.07659
570.07917,0.07065
571.0389,0.06756
571.99863,0.06669
572.95835,0.06608
573.91808,0.06458
574.87781,0.0626
575.83754,0.06069
576.79727,0.05894
577.757,0.05712
578.71673,0.05517
579.67646,0.05328
580.63619,0.05181
581.59592,0.05102
582.55565,0.05074
583.51538,0.05065
584.47511,0.05049
585.43483,0.05034
586.39456,0.05066
587.35429,0.05156
588.31402,0.0526
589.27375,0.05333
590.23348,0.05379
591.19321,0.05458
592.15294,0.05639
593.11267,0.05903
594.0724,0.06099
595.03213,0.06052
595.99186,0.05761
596.95159,0.05449
597.91131,0.05327
