Frequency,Reflectivity
399.24736,0.07819
400.20709,0.08174
401.16682,0.0831
402.12655,0.08368
403.08628,0.08476
404.04601,0.08737
405.00574,0.09197
405.96547,0.09812
406.9252,0.10442
407.88493,0.10905
408.84465,0.11107
409.80438,0.11111
410.76411,0.11049
411.72384,0.11027
412.68357,0.11155
413.6433,0.11555
414.60303,0.12245
415.56276,0.13039
416.52249,0.13674
417.48222,0.1401
418.44195,0.14128
419.40168,0.14249
420.36141,0.14485
421.32113,0.14784
422.28086,0.15105
423.24059,0.15507
424.20032,0.1604
425.16005,0.16622
426.11978,0.17106
427.07951,0.17415
428.03924,0.17588
428.99897,0.1774
429.9587,0.17967
430.91843,0.18272
431.87816,0.18591
432.83789,0.18884
433.79761,0.1919
434.75734,0.19558
435.71707,0.19942
436.6768,0.20242
437.63653,0.20432
438.59626,0.20589
439.55599,0.20811
440.51572,0.21159
441.47545,0.21621
442.43518,0.2209
443.39491,0.22423
444.35464,0.22554
445.31437,0.22556
446.2741,0.22574
447.23382,0.22712
448.19355,0.22996
449.15328,0.23402
450.11301,0.23896
451.07274,0.24435
452.03247,0.24944
452.9922,0.25343
453.95193,0.25614
454.91166,0.25843
455.87139,0.26191
456.83112,0.26763
457.79085,0.27444
458.75058,0.27969
459.7103,0.28248
460.67003,0.2847
461.62976,0.28857
462.58949,0.29449
463.54922,0.30108
464.50895,0.30669
465.46868,0.3104
466.42841,0.31232
467.38814,0.3137
468.34787,0.31606
469.3076,0.31989
470.26733,0.32458
471.22706,0.3296
472.18678,0.33529
473.14651,0.342
474.10624,0.34922
475.06597,0.35603
476.0257,0.36195
476.98543,0.36735
477.94516,0.37334
478.90489,0.38113
479.86462,0.39104
480.82435,0.40204
481.78408,0.41265
482.74381,0.42245
483.70354,0.43247
484.66326,0.44413
485.62299,0.45798
486.58272,0.47369
487.54245,0.49102
488.50218,0.51064
489.46191,0.53378
490.42164,0.56122
491.38137,0.59243
492.3411,0.6258
493.30083,0.65951
494.26056,0.69196
495.22029,0.72158
496.18002,0.74697
497.13974,0.76757
498.09947,0.78375
499.0592,0.7963
500.01893,0.80578
500.97866,0.81249
501.93839,0.81695
502.89812,0.82003
503.85785,0.8222
504.81758,0.82293
505.77731,0.82176
506.73704,0.81978
507.69677,0.81921
508.6565,0.82133
509.61622,0.82553
510.57595,0.83046
511.53568,0.83518
512.49541,0.83926
513.45514,0.84241
514.41487,0.84428
515.3746,0.84467
516.33433,0.84381
517.29406,0.84247
518.25379,0.84135
519.21352,0.84047
520.17325,0.83936
521.13298,0.83778
522.0927,0.83595
523.05243,0.8343
524.01216,0.83309
524.97189,0.83213
525.93162,0.83081
526.89135,0.82855
527.85108,0.82549
528.81081,0.82235
529.77054,0.81995
530.73027,0.81861
531.69,0.81789
532.64973,0.81689
533.60946,0.81508
534.56918,0.81268
535.52891,0.81026
536.48864,0.80801
537.44837,0.80559
538.4081,0.80237
539.36783,0.7979
540.32756,0.79206
541.28729,0.78484
542.24702,0.77627
543.20675,0.76654
544.16648,0.75608
545.12621,0.7451
546.08594,0.73318
547.04566,0.71939
548.00539,0.70267
548.96512,0.68188
549.92485,0.65534
550.88458,0.62042
551.84431,0.57358
552.80404,0.51187
553.76377,0.43579
554.7235,0.3512
555.68323,0.26798
556.64296,0.19567
557.60269,0.13942
558.56242,0.09896
559.52214,0.07067
560.48187,0.05059
561.4416,0.03611
562.40133,0.0259
563.36106,0.01901
564.32079,0.01432
565.28052,0.0107
566.24025,0.0075
567.19998,0.00464
568.15971,0.00227
569.11944,0.0007
570.07917,0.00057
571.0389,0.00066
571.99863,0.00072
572.95835,0.00113
573.91808,0.00178
574.87781,0.00222
575.83754,0.00271
576.79727,0.00363
577.757,0.00499
578.71673,0.00641
579.67646,0.00755
580.63619,0.00832
581.59592,0.0089
582.55565,0.00955
583.51538,0.01045
584.47511,0.01158
585.43483,0.01283
586.39456,0.01411
587.35429,0.01541
588.31402,0.01673
589.27375,0.01819
590.23348,0.01984
591.19321,0.02151
592.15294,0.02285
593.11267,0.02373
594.0724,0.02435
595.03213,0.02506
595.99186,0.02612
596.95159,0.02739
597.91131,0.02859
