Frequency,Reflectivity
399.24736,0.14469
400.20709,0.12647
401.16682,0.10527
402.12655,0.08363
403.08628,0.06538
404.04601,0.05348
405.00574,0.04845
405.96547,0.04852
406.9252,0.05126
407.88493,0.05514
408.84465,0.05961
409.80438,0.06438
410.76411,0.06906
411.72384,0.07324
412.68357,0.07679
413.6433,0.07973
414.60303,0.08227
415.56276,0.0847
416.52249,0.08734
417.48222,0.09044
418.44195,0.09385
419.40168,0.09707
420.36141,0.09986
421.32113,0.10249
422.28086,0.10532
423.24059,0.10848
424.20032,0.11193
425.16005,0.11552
426.11978,0.11896
427.07951,0.12206
428.03924,0.12484
428.99897,0.12754
429.9587,0.13037
430.91843,0.1334
431.87816,0.13653
432.83789,0.13961
433.79761,0.14264
434.75734,0.14598
435.71707,0.15006
436.6768,0.1549
437.63653,0.16011
438.59626,0.16537
439.55599,0.17084
440.51572,0.17683
441.47545,0.18343
442.43518,0.19049
443.39491,0.19799
444.35464,0.20621
445.31437,0.21552
446.2741,0.22611
447.23382,0.23806
448.19355,0.25119
449.15328,0.26497
450.11301,0.27834
451.07274,0.29006
452.03247,0.29931
452.9922,0.30614
453.95193,0.31134
454.91166,0.31584
455.87139,0.32019
456.83112,0.32436
457.79085,0.32811
458.75058,0.33154
459.7103,0.33525
460.67003,0.33967
461.62976,0.34451
462.58949,0.34899
463.54922,0.35267
464.50895,0.35587
465.46868,0.35907
466.42841,0.36255
467.38814,0.36632
468.34787,0.37031
469.3076,0.37438
470.26733,0.37852
471.22706,0.38305
472.18678,0.38821
473.14651,0.3938
474.10624,0.39943
475.06597,0.40497
476.0257,0.41057
476.98543,0.4164
477.94516,0.42251
478.90489,0.42897
479.86462,0.43582
480.82435,0.44316
481.78408,0.45107
482.74381,0.45963
483.70354,0.46905
484.66326,0.4796
485.62299,0.49161
486.58272,0.50542
487.54245,0.52126
488.50218,0.53936
489.46191,0.56014
490.42164,0.58427
491.38137,0.61204
492.3411,0.64256
493.30083,0.67364
494.26056,0.70275
495.22029,0.72781
496.18002,0.74764
497.13974,0.76207
498.09947,0.77166
499.0592,0.77707
500.01893,0.77863
500.97866,0.77597
501.93839,0.76786
502.89812,0.75215
503.85785,0.72512
504.81758,0.68192
505.77731,0.62061
506.73704,0.54876
507.69677,0.48397
508.6565,0.44362
509.61622,0.43356
510.57595,0.4464
511.53568,0.46914
512.49541,0.49196
513.45514,0.51111
514.41487,0.52638
515.3746,0.53818
516.33433,0.54685
517.29406,0.553
518.25379,0.55739
519.21352,0.56057
520.17325,0.56284
521.13298,0.56439
522.0927,0.56546
523.05243,0.56623
524.01216,0.56676
524.97189,0.56702
525.93162,0.56701
526.89135,0.56686
527.85108,0.56665
528.81081,0.56638
529.77054,0.56601
530.73027,0.56561
531.69,0.56537
532.64973,0.56535
533.60946,0.56535
534.56918,0.56506
535.52891,0.56428
536.48864,0.56295
537.44837,0.56103
538.4081,0.55843
539.36783,0.55511
540.32756,0.5511
541.28729,0.54631
542.24702,0.54044
543.20675,0.53319
544.16648,0.52442
545.12621,0.51393
546.08594,0.50116
547.04566,0.48482
548.00539,0.46275
548.96512,0.43223
549.92485,0.39113
550.88458,0.33982
551.84431,0.28221
552.80404,0.22482
553.76377,0.17401
554.7235,0.13334
555.68323,0.10287
556.64296,0.08054
557.60269,0.06405
558.56242,0.05167
559.52214,0.04227
560.48187,0.03501
561.4416,0.02922
562.40133,0.02441
563.36106,0.02041
564.32079,0.01721
565.28052,0.01479
566.24025,0.01304
567.19998,0.01174
568.15971,0.01061
569.11944,0.0095
570.07917,0.00841
571.0389,0.00748
571.99863,0.00684
572.95835,0.00658
573.91808,0.00664
574.87781,0.00687
575.83754,0.00713
576.79727,0.00731
577.757,0.00735
578.71673,0.00725
579.67646,0.00712
580.63619,0.00711
581.59592,0.00729
582.55565,0.00765
583.51538,0.00809
584.47511,0.00851
585.43483,0.00883
586.39456,0.00908
587.35429,0.00937
588.31402,0.00977
589.27375,0.0103
590.23348,0.01088
591.19321,0.01145
592.15294,0.01199
593.11267,0.0125
594.0724,0.01299
595.03213,0.01342
595.99186,0.01376
596.95159,0.01401
597.91131,0.01422
