Frequency,Reflectivity
399.24736,0.50699
400.20709,0.43335
401.16682,0.34675
402.12655,0.25637
403.08628,0.17665
404.04601,0.12111
405.00574,0.09425
405.96547,0.08977
406.9252,0.09684
407.88493,0.10748
408.84465,0.11829
409.80438,0.12824
410.76411,0.13718
411.72384,0.14576
412.68357,0.15492
413.6433,0.16484
414.60303,0.17482
415.56276,0.18416
416.52249,0.19286
417.48222,0.20123
418.44195,0.20888
419.40168,0.21449
420.36141,0.21783
421.32113,0.2207
422.28086,0.22487
423.24059,0.23088
424.20032,0.23809
425.16005,0.24528
426.11978,0.2517
427.07951,0.25739
428.03924,0.26297
428.99897,0.26907
429.9587,0.27594
430.91843,0.28353
431.87816,0.29185
432.83789,0.30106
433.79761,0.31116
434.75734,0.32185
435.71707,0.33269
436.6768,0.34347
437.63653,0.35434
438.59626,0.36566
439.55599,0.37784
440.51572,0.39125
441.47545,0.40633
442.43518,0.42341
443.39491,0.44265
444.35464,0.46424
445.31437,0.48892
446.2741,0.51764
447.23382,0.55045
448.19355,0.58577
449.15328,0.6209
450.11301,0.65286
451.07274,0.67931
452.03247,0.69919
452.9922,0.71308
453.95193,0.72268
454.91166,0.72977
455.87139,0.73558
456.83112,0.74059
457.79085,0.74468
458.75058,0.74781
459.7103,0.75022
460.67003,0.7522
461.62976,0.75382
462.58949,0.75505
463.54922,0.7559
464.50895,0.75645
465.46868,0.75686
466.42841,0.75732
467.38814,0.75784
468.34787,0.75831
469.3076,0.75875
470.26733,0.75936
471.22706,0.76026
472.18678,0.76138
473.14651,0.76248
474.10624,0.76321
475.06597,0.76317
476.0257,0.76213
476.98543,0.76051
477.94516,0.75914
478.90489,0.75864
479.86462,0.75895
480.82435,0.75963
481.78408,0.76023
482.74381,0.76057
483.70354,0.76051
484.66326,0.75994
485.62299,0.75897
486.58272,0.75805
487.54245,0.75771
488.50218,0.7581
489.46191,0.75901
490.42164,0.76041
491.38137,0.76259
492.3411,0.76568
493.30083,0.76914
494.26056,0.77184
495.22029,0.77289
496.18002,0.77232
497.13974,0.77083
498.09947,0.76882
499.0592,0.76598
500.01893,0.76168
500.97866,0.75543
501.93839,0.747
502.89812,0.73605
503.85785,0.72155
504.81758,0.70135
505.77731,0.67305
506.73704,0.63575
507.69677,0.59068
508.6565,0.53988
509.61622,0.48499
510.57595,0.42806
511.53568,0.37266
512.49541,0.32319
513.45514,0.28272
514.41487,0.2517
515.3746,0.22859
516.33433,0.21137
517.29406,0.19832
518.25379,0.18804
519.21352,0.17953
520.17325,0.17237
521.13298,0.16658
522.0927,0.16205
523.05243,0.15839
524.01216,0.1552
524.97189,0.1524
525.93162,0.15015
526.89135,0.14845
527.85108,0.14703
528.81081,0.14567
529.77054,0.14432
530.73027,0.14304
531.69,0.1419
532.64973,0.1409
533.60946,0.14001
534.56918,0.13909
535.52891,0.138
536.48864,0.13674
537.44837,0.13539
538.4081,0.13408
539.36783,0.13283
540.32756,0.1315
541.28729,0.12981
542.24702,0.12757
543.20675,0.12484
544.16648,0.12176
545.12621,0.11838
546.08594,0.11447
547.04566,0.10966
548.00539,0.10348
548.96512,0.09548
549.92485,0.08553
550.88458,0.07408
551.84431,0.06217
552.80404,0.05114
553.76377,0.04217
554.7235,0.03575
555.68323,0.03158
556.64296,0.02889
557.60269,0.02697
558.56242,0.02555
559.52214,0.02466
560.48187,0.02428
561.4416,0.02424
562.40133,0.02437
563.36106,0.02471
564.32079,0.02538
565.28052,0.02636
566.24025,0.02742
567.19998,0.02833
568.15971,0.02903
569.11944,0.02964
570.07917,0.03026
571.0389,0.03092
571.99863,0.03161
572.95835,0.03239
573.91808,0.03331
574.87781,0.03428
575.83754,0.03517
576.79727,0.03592
577.757,0.0366
578.71673,0.03734
579.67646,0.03817
580.63619,0.03896
581.59592,0.03961
582.55565,0.04021
583.51538,0.04093
584.47511,0.04179
585.43483,0.04268
586.39456,0.04355
587.35429,0.04445
588.31402,0.04539
589.27375,0.04627
590.23348,0.04696
591.19321,0.04748
592.15294,0.04794
593.11267,0.04848
594.0724,0.04914
595.03213,0.04989
595.99186,0.0507
596.95159,0.05152
597.91131,0.05229
