Frequency,Reflectivity
399.24736,0.12513
400.20709,0.10324
401.16682,0.0811
402.12655,0.06333
403.08628,0.05286
404.04601,0.04954
405.00574,0.05087
405.96547,0.05414
406.9252,0.05778
407.88493,0.06134
408.84465,0.06495
409.80438,0.06883
410.76411,0.07308
411.72384,0.07726
412.68357,0.08076
413.6433,0.08352
414.60303,0.08603
415.56276,0.08868
416.52249,0.09172
417.48222,0.09568
418.44195,0.10092
419.40168,0.10597
420.36141,0.10866
421.32113,0.10909
422.28086,0.1093
423.24059,0.11097
424.20032,0.11419
425.16005,0.11788
426.11978,0.12115
427.07951,0.12399
428.03924,0.12666
428.99897,0.12912
429.9587,0.1315
430.91843,0.13439
431.87816,0.13813
432.83789,0.14216
433.79761,0.14572
434.75734,0.14873
435.71707,0.15192
436.6768,0.15609
437.63653,0.1614
438.59626,0.16734
439.55599,0.17324
440.51572,0.17863
441.47545,0.18356
442.43518,0.18867
443.39491,0.1947
444.35464,0.20202
445.31437,0.21059
446.2741,0.22033
447.23382,0.23115
448.19355,0.2426
449.15328,0.25381
450.11301,0.26401
451.07274,0.27285
452.03247,0.28035
452.9922,0.28678
453.95193,0.29252
454.91166,0.29783
455.87139,0.30267
456.83112,0.30707
457.79085,0.31132
458.75058,0.31573
459.7103,0.32005
460.67003,0.32369
461.62976,0.32643
462.58949,0.3288
463.54922,0.33163
464.50895,0.33523
465.46868,0.33923
466.42841,0.34322
467.38814,0.34734
468.34787,0.35191
469.3076,0.35675
470.26733,0.36134
471.22706,0.36539
472.18678,0.36912
473.14651,0.37308
474.10624,0.37775
475.06597,0.38323
476.0257,0.38917
476.98543,0.39512
477.94516,0.401
478.90489,0.40709
479.86462,0.4137
480.82435,0.42086
481.78408,0.42836
482.74381,0.43613
483.70354,0.44469
484.66326,0.45492
485.62299,0.46734
486.58272,0.48194
487.54245,0.49864
488.50218,0.51766
489.46191,0.53946
490.42164,0.56459
491.38137,0.59325
492.3411,0.62474
493.30083,0.65724
494.26056,0.68833
495.22029,0.7158
496.18002,0.73829
497.13974,0.75547
498.09947,0.76763
499.0592,0.77493
500.01893,0.77726
500.97866,0.77418
501.93839,0.76481
502.89812,0.74707
503.85785,0.71676
504.81758,0.66803
505.77731,0.5982
506.73704,0.51522
507.69677,0.43891
508.6565,0.39062
509.61622,0.38034
510.57595,0.40284
511.53568,0.44364
512.49541,0.48817
513.45514,0.52735
514.41487,0.55775
515.3746,0.57933
516.33433,0.59372
517.29406,0.60327
518.25379,0.61011
519.21352,0.61541
520.17325,0.61937
521.13298,0.62186
522.0927,0.62307
523.05243,0.62359
524.01216,0.62397
524.97189,0.62432
525.93162,0.62436
526.89135,0.62389
527.85108,0.62305
528.81081,0.62221
529.77054,0.62161
530.73027,0.62116
531.69,0.62054
532.64973,0.61951
533.60946,0.61808
534.56918,0.6164
535.52891,0.61452
536.48864,0.61233
537.44837,0.60977
538.4081,0.60681
539.36783,0.60324
540.32756,0.59862
541.28729,0.59245
542.24702,0.5845
543.20675,0.57474
544.16648,0.56311
545.12621,0.54929
546.08594,0.53256
547.04566,0.51144
548.00539,0.48323
548.96512,0.44471
549.92485,0.39437
550.88458,0.33462
551.84431,0.2717
552.80404,0.213
553.76377,0.16382
554.7235,0.12578
555.68323,0.09756
556.64296,0.07681
557.60269,0.06152
558.56242,0.05017
559.52214,0.04158
560.48187,0.03488
561.4416,0.02958
562.40133,0.02534
563.36106,0.02182
564.32079,0.01883
565.28052,0.01639
566.24025,0.01458
567.19998,0.01319
568.15971,0.0119
569.11944,0.01075
570.07917,0.01001
571.0389,0.00973
571.99863,0.00963
572.95835,0.00952
573.91808,0.00941
574.87781,0.00925
575.83754,0.00889
576.79727,0.00838
577.757,0.00805
578.71673,0.00815
579.67646,0.0085
580.63619,0.0087
581.59592,0.00861
582.55565,0.00853
583.51538,0.00879
584.47511,0.00932
585.43483,0.00988
586.39456,0.01033
587.35429,0.01073
588.31402,0.01116
589.27375,0.01167
590.23348,0.01233
591.19321,0.01315
592.15294,0.01407
593.11267,0.01496
594.0724,0.0157
595.03213,0.01622
595.99186,0.01659
596.95159,0.01694
597.91131,0.01744
