Frequency,Reflectivity
399.24736,0.17722
400.20709,0.15696
401.16682,0.13279
402.12655,0.10892
403.08628,0.09005
404.04601,0.07919
405.00574,0.07597
405.96547,0.07769
406.9252,0.082
407.88493,0.08819
408.84465,0.0959
409.80438,0.10396
410.76411,0.11101
411.72384,0.11652
412.68357,0.12061
413.6433,0.12321
414.60303,0.12429
415.56276,0.12482
416.52249,0.12655
417.48222,0.13075
418.44195,0.13705
419.40168,0.14361
420.36141,0.1493
421.32113,0.15436
422.28086,0.15869
423.24059,0.16167
424.20032,0.16355
425.16005,0.1657
426.11978,0.16896
427.07951,0.17285
428.03924,0.17656
428.99897,0.17992
429.9587,0.18291
430.91843,0.18529
431.87816,0.18707
432.83789,0.18897
433.79761,0.192
434.75734,0.19703
435.71707,0.20418
436.6768,0.2124
437.63653,0.22002
438.59626,0.22616
439.55599,0.23134
440.51572,0.23664
441.47545,0.24263
442.43518,0.24918
443.39491,0.25631
444.35464,0.26478
445.31437,0.27553
446.2741,0.28872
447.23382,0.30354
448.19355,0.31863
449.15328,0.33286
450.11301,0.34528
451.07274,0.35509
452.03247,0.36208
452.9922,0.36709
453.95193,0.37157
454.91166,0.37643
455.87139,0.38185
456.83112,0.38753
457.79085,0.39273
458.75058,0.39641
459.7103,0.39822
460.67003,0.39901
461.62976,0.40032
462.58949,0.40311
463.54922,0.40695
464.50895,0.41077
465.46868,0.4141
466.42841,0.41739
467.38814,0.42122
468.34787,0.42561
469.3076,0.43024
470.26733,0.43489
471.22706,0.43934
472.18678,0.44311
473.14651,0.44594
474.10624,0.44838
475.06597,0.45146
476.0257,0.45586
476.98543,0.46152
477.94516,0.4679
478.90489,0.47443
479.86462,0.48101
480.82435,0.48782
481.78408,0.49505
482.74381,0.50263
483.70354,0.5104
484.66326,0.51849
485.62299,0.52738
486.58272,0.53774
487.54245,0.55011
488.50218,0.56472
489.46191,0.58163
490.42164,0.60097
491.38137,0.62273
492.3411,0.64632
493.30083,0.67048
494.26056,0.69363
495.22029,0.71432
496.18002,0.73152
497.13974,0.74486
498.09947,0.75464
499.0592,0.7615
500.01893,0.76603
500.97866,0.76852
501.93839,0.76895
502.89812,0.76705
503.85785,0.7619
504.81758,0.75181
505.77731,0.73578
506.73704,0.71607
507.69677,0.69793
508.6565,0.68536
509.61622,0.67774
510.57595,0.67142
511.53568,0.66376
512.49541,0.65521
513.45514,0.64774
514.41487,0.64251
515.3746,0.63925
516.33433,0.63726
517.29406,0.63601
518.25379,0.63512
519.21352,0.63422
520.17325,0.63311
521.13298,0.63184
522.0927,0.63055
523.05243,0.62917
524.01216,0.62757
524.97189,0.62566
525.93162,0.62354
526.89135,0.62142
527.85108,0.61939
528.81081,0.61749
529.77054,0.61575
530.73027,0.61416
531.69,0.61246
532.64973,0.61034
533.60946,0.608
534.56918,0.60605
535.52891,0.60478
536.48864,0.60369
537.44837,0.60195
538.4081,0.59901
539.36783,0.59481
540.32756,0.58962
541.28729,0.58375
542.24702,0.57743
543.20675,0.57078
544.16648,0.5636
545.12621,0.55552
546.08594,0.54622
547.04566,0.53556
548.00539,0.52313
548.96512,0.50775
549.92485,0.48761
550.88458,0.46054
551.84431,0.42415
552.80404,0.3767
553.76377,0.31916
554.7235,0.25645
555.68323,0.19608
556.64296,0.14451
557.60269,0.10463
558.56242,0.07581
559.52214,0.05564
560.48187,0.04147
561.4416,0.03122
562.40133,0.02365
563.36106,0.01828
564.32079,0.01472
565.28052,0.01233
566.24025,0.0105
567.19998,0.00905
568.15971,0.00807
569.11944,0.0075
570.07917,0.00722
571.0389,0.00707
571.99863,0.00699
572.95835,0.00701
573.91808,0.00718
574.87781,0.00754
575.83754,0.00817
576.79727,0.00915
577.757,0.01036
578.71673,0.01148
579.67646,0.01232
580.63619,0.01291
581.59592,0.01339
582.55565,0.01391
583.51538,0.01451
584.47511,0.01524
585.43483,0.01615
586.39456,0.01717
587.35429,0.01811
588.31402,0.01893
589.27375,0.01981
590.23348,0.02095
591.19321,0.02238
592.15294,0.02393
593.11267,0.02536
594.0724,0.02648
595.03213,0.02728
595.99186,0.02797
596.95159,0.02877
597.91131,0.02969
