Frequency,Reflectivity
399.24736,0.65249
400.20709,0.54641
401.16682,0.42233
402.12655,0.29675
403.08628,0.18859
404.04601,0.11171
405.00574,0.0697
405.96547,0.05621
406.9252,0.05991
407.88493,0.07109
408.84465,0.08432
409.80438,0.09725
410.76411,0.10934
411.72384,0.12071
412.68357,0.13139
413.6433,0.1416
414.60303,0.15173
415.56276,0.16179
416.52249,0.1715
417.48222,0.1812
418.44195,0.19133
419.40168,0.20067
420.36141,0.20728
421.32113,0.2118
422.28086,0.21659
423.24059,0.22313
424.20032,0.2309
425.16005,0.23859
426.11978,0.24605
427.07951,0.25432
428.03924,0.26395
428.99897,0.27422
429.9587,0.28416
430.91843,0.29356
431.87816,0.30278
432.83789,0.3122
433.79761,0.32205
434.75734,0.33289
435.71707,0.34524
436.6768,0.35906
437.63653,0.37413
438.59626,0.39073
439.55599,0.40933
440.51572,0.42968
441.47545,0.45126
442.43518,0.47462
443.39491,0.5016
444.35464,0.53373
445.31437,0.57158
446.2741,0.61565
447.23382,0.66616
448.19355,0.72151
449.15328,0.77785
450.11301,0.83047
451.07274,0.87559
452.03247,0.91125
452.9922,0.93731
453.95193,0.95505
454.91166,0.96664
455.87139,0.97457
456.83112,0.98096
457.79085,0.98672
458.75058,0.99116
459.7103,0.99327
460.67003,0.99299
461.62976,0.99139
462.58949,0.98975
463.54922,0.98879
464.50895,0.98842
465.46868,0.9883
466.42841,0.9882
467.38814,0.988
468.34787,0.98764
469.3076,0.98723
470.26733,0.98693
471.22706,0.98668
472.18678,0.98623
473.14651,0.98549
474.10624,0.98471
475.06597,0.98411
476.0257,0.98355
476.98543,0.98279
477.94516,0.98183
478.90489,0.98072
479.86462,0.97923
480.82435,0.97718
481.78408,0.97488
482.74381,0.97281
483.70354,0.97085
484.66326,0.96823
485.62299,0.96454
486.58272,0.96027
487.54245,0.95603
488.50218,0.9519
489.46191,0.94769
490.42164,0.9435
491.38137,0.93954
492.3411,0.93564
493.30083,0.93126
494.26056,0.92587
495.22029,0.91937
496.18002,0.91216
497.13974,0.90476
498.09947,0.89726
499.0592,0.88927
500.01893,0.88008
500.97866,0.8685
501.93839,0.85299
502.89812,0.83204
503.85785,0.80383
504.81758,0.76503
505.77731,0.7113
506.73704,0.64075
507.69677,0.55725
508.6565,0.46945
509.61622,0.38652
510.57595,0.31447
511.53568,0.25511
512.49541,0.20728
513.45514,0.16884
514.41487,0.13792
515.3746,0.11295
516.33433,0.09265
517.29406,0.07613
518.25379,0.06284
519.21352,0.05245
520.17325,0.04459
521.13298,0.03871
522.0927,0.03412
523.05243,0.03006
524.01216,0.02608
524.97189,0.02224
525.93162,0.01904
526.89135,0.01674
527.85108,0.01513
528.81081,0.01376
529.77054,0.0124
530.73027,0.01119
531.69,0.01042
532.64973,0.01002
533.60946,0.00962
534.56918,0.00897
535.52891,0.00809
536.48864,0.0072
537.44837,0.00666
538.4081,0.00665
539.36783,0.00705
540.32756,0.00766
541.28729,0.00828
542.24702,0.00896
543.20675,0.01008
544.16648,0.01217
545.12621,0.01572
546.08594,0.02149
547.04566,0.0311
548.00539,0.04737
548.96512,0.07313
549.92485,0.10851
550.88458,0.14845
551.84431,0.18335
552.80404,0.20306
553.76377,0.20187
554.7235,0.18156
555.68323,0.15019
556.64296,0.11748
557.60269,0.09029
558.56242,0.0709
559.52214,0.05822
560.48187,0.0501
561.4416,0.04484
562.40133,0.04142
563.36106,0.03909
564.32079,0.03724
565.28052,0.03551
566.24025,0.03399
567.19998,0.03288
568.15971,0.03216
569.11944,0.03158
570.07917,0.03101
571.0389,0.03059
571.99863,0.03047
572.95835,0.0306
573.91808,0.03078
574.87781,0.03083
575.83754,0.03078
576.79727,0.03077
577.757,0.03089
578.71673,0.03113
579.67646,0.03139
580.63619,0.03162
581.59592,0.03186
582.55565,0.03218
583.51538,0.03259
584.47511,0.03312
585.43483,0.03371
586.39456,0.03423
587.35429,0.03455
588.31402,0.03469
589.27375,0.03483
590.23348,0.03519
591.19321,0.03577
592.15294,0.03632
593.11267,0.03667
594.0724,0.03688
595.03213,0.03704
595.99186,0.03716
596.95159,0.03716
597.91131,0.03711
